v_ID,v_Frame_output,v_Vel_output,Frame_ID,v_Vel,v_Acc,Space_Headway,Time_Headway
472,1106,24.28,1105,29.45,-1.62,51.78,1.76
456,1106,29.45,1105,33.65,-10.87,42.39,1.26
472,1107,24.37,1106,29.45,1.57,52.17,1.77
456,1107,29.63,1106,32.49,-11.2,42.57,1.31
477,1107,25.0,1106,24.28,-0.28,76.62,3.16
477,1108,25.0,1107,24.37,1.78,77.14,3.17
472,1108,24.58,1107,29.63,3.3,52.43,1.77
456,1108,29.88,1107,31.33,-10.87,42.87,1.37
477,1109,25.0,1108,24.58,3.73,77.7,3.16
472,1109,24.87,1108,29.88,1.79,52.52,1.76
456,1109,29.97,1108,30.12,-11.2,43.28,1.44
472,1110,25.0,1109,29.97,-0.39,52.44,1.75
456,1110,29.95,1109,28.83,-11.2,43.83,1.52
477,1110,25.0,1109,24.87,2.12,78.23,3.15
456,1111,30.17,1110,28.1,-5.34,44.53,1.58
472,1111,25.0,1110,29.95,-0.12,52.24,1.74
477,1111,25.0,1110,25.0,0.0,78.71,3.15
456,1112,30.86,1111,28.1,5.45,45.31,1.61
472,1112,25.0,1111,30.17,3.48,51.99,1.72
477,1112,25.0,1111,25.0,0.0,79.18,3.17
456,1113,32.14,1112,28.72,11.09,46.01,1.6
472,1113,25.0,1112,30.86,9.97,51.78,1.68
477,1113,25.0,1112,25.0,0.0,79.67,3.19
472,1114,24.98,1113,32.14,11.2,51.59,1.61
477,1114,25.0,1113,25.0,0.0,80.32,3.21
456,1114,33.89,1113,29.57,5.96,46.5,1.57
456,1115,35.65,1114,29.94,0.0,46.86,1.56
472,1115,24.97,1114,33.89,11.2,51.32,1.51
477,1115,25.0,1114,24.98,-0.25,81.13,3.25
477,1116,25.0,1115,24.97,-0.13,82.1,3.29
456,1116,36.98,1115,29.94,0.0,47.22,1.58
472,1116,25.06,1115,35.65,11.2,50.84,1.43
477,1117,25.0,1116,25.06,1.49,83.24,3.32
472,1117,25.35,1116,36.98,10.72,50.21,1.36
456,1117,37.75,1116,29.92,-0.18,47.61,1.59
477,1118,25.0,1117,25.35,4.27,84.54,3.33
472,1118,25.9,1117,37.75,4.22,49.4,1.31
456,1118,38.02,1117,29.92,0.03,48.07,1.61
456,1119,38.07,1118,30.02,1.6,48.58,1.62
477,1119,25.0,1118,25.9,6.97,85.83,3.31
472,1119,26.66,1118,38.02,0.37,48.56,1.28
472,1120,27.5,1119,38.07,0.15,47.75,1.25
477,1120,25.0,1119,26.66,8.35,87.02,3.26
456,1120,38.01,1119,30.33,4.34,49.07,1.62
477,1121,25.0,1120,27.5,8.56,88.13,3.2
472,1121,28.34,1120,38.01,-0.85,46.97,1.24
456,1121,37.6,1120,30.88,6.96,49.5,1.6
456,1122,36.61,1121,31.61,8.04,49.84,1.58
472,1122,29.1,1121,37.6,-6.14,46.25,1.23
477,1122,25.0,1121,28.34,8.36,89.17,3.15
456,1123,34.7,1122,32.35,6.94,50.08,1.55
472,1123,29.64,1122,36.61,-11.2,45.71,1.25
477,1123,24.96,1122,29.1,6.99,90.03,3.09
456,1124,32.02,1123,32.9,4.48,50.24,1.53
477,1124,24.76,1123,29.64,4.29,90.61,3.06
472,1124,29.94,1123,34.7,-11.2,45.45,1.31
456,1125,29.81,1124,33.22,1.75,50.36,1.52
477,1125,24.43,1124,29.94,1.49,90.93,3.04
472,1125,30.03,1124,32.02,-11.2,45.47,1.42
456,1126,28.77,1125,33.27,-0.93,50.46,1.52
472,1126,30.01,1125,29.81,-11.2,45.7,1.53
477,1126,24.24,1125,30.03,-0.15,91.03,3.03
472,1127,30.0,1126,28.77,-2.15,46.16,1.6
477,1127,24.31,1126,30.01,-0.25,90.9,3.03
456,1127,28.76,1126,33.06,-3.12,50.57,1.53
477,1128,24.58,1127,30.0,0.0,90.69,3.02
456,1128,29.16,1127,32.74,-3.82,50.72,1.55
472,1128,30.0,1127,28.76,7.29,46.67,1.62
477,1129,24.88,1128,30.0,0.0,90.63,3.02
456,1129,29.09,1128,32.51,-1.55,50.94,1.57
472,1129,30.0,1128,29.16,1.78,46.98,1.61
477,1130,25.0,1129,30.0,0.0,90.61,3.02
472,1130,30.0,1129,29.09,-5.45,47.22,1.62
456,1130,28.72,1129,32.49,1.52,51.24,1.58
472,1131,29.88,1130,28.72,-2.9,47.62,1.66
477,1131,25.0,1130,30.0,0.0,90.48,3.02
456,1131,28.71,1130,32.49,-0.17,51.5,1.59
477,1132,25.0,1131,29.88,-1.86,90.28,3.02
456,1132,29.08,1131,32.09,-6.9,51.67,1.61
472,1132,29.62,1131,28.71,2.65,48.08,1.67
477,1133,24.98,1132,29.62,-3.5,90.16,3.04
472,1133,29.42,1132,29.08,5.67,48.41,1.66
456,1133,29.55,1132,31.09,-11.2,51.92,1.67
472,1134,29.42,1133,29.55,4.54,48.5,1.64
456,1134,29.85,1133,29.63,-11.2,52.37,1.77
477,1134,24.96,1133,29.42,-1.69,90.16,3.06
456,1135,29.95,1134,28.2,-11.2,53.04,1.88
477,1135,25.08,1134,29.42,1.65,90.25,3.07
472,1135,29.61,1134,29.85,1.39,48.4,1.62
477,1136,25.5,1135,29.61,3.46,90.32,3.05
456,1136,30.12,1135,27.11,-8.76,53.93,1.99
472,1136,29.87,1135,29.95,0.0,48.15,1.61
456,1137,30.64,1136,26.41,-4.71,54.92,2.08
477,1137,26.34,1136,29.87,1.84,90.31,3.02
472,1137,29.99,1136,30.12,2.55,47.81,1.59
472,1138,29.99,1137,30.64,7.71,47.4,1.55
456,1138,31.65,1137,26.22,0.3,55.92,2.13
477,1138,27.5,1137,29.99,0.0,90.29,3.01
472,1139,29.99,1138,31.65,11.2,46.9,1.48
456,1139,33.0,1138,26.54,5.87,56.75,2.14
477,1139,28.66,1138,29.99,0.0,90.38,3.01
456,1140,34.27,1139,27.28,9.87,57.37,2.1
477,1140,29.49,1139,29.99,0.03,90.62,3.02
472,1140,29.99,1139,33.0,11.2,46.32,1.4
472,1141,29.98,1140,34.27,11.2,45.74,1.33
456,1141,35.06,1140,28.18,9.11,57.73,2.05
477,1141,29.92,1140,29.99,-0.08,90.97,3.03
477,1142,30.03,1141,29.98,-0.18,91.5,3.05
472,1142,30.0,1141,35.06,4.75,45.11,1.29
456,1142,35.3,1141,28.89,5.1,57.81,2.0
477,1143,30.02,1142,30.0,0.51,92.07,3.07
456,1143,35.2,1142,29.24,1.68,57.83,1.98
472,1143,30.14,1142,35.3,-0.86,44.48,1.26
477,1144,30.0,1143,30.14,2.04,92.62,3.07
456,1144,35.06,1143,29.35,0.0,57.86,1.97
472,1144,30.41,1143,35.2,-2.09,43.89,1.25
456,1145,34.95,1144,29.34,-0.18,57.93,1.97
472,1145,30.79,1144,35.06,-0.65,43.32,1.24
477,1145,30.0,1144,30.41,3.5,93.1,3.06
472,1146,31.21,1145,34.95,-0.84,42.75,1.22
477,1146,30.0,1145,30.79,4.31,93.55,3.04
456,1146,34.76,1145,29.33,0.0,58.0,1.98
477,1147,30.0,1146,31.21,4.13,93.96,3.01
472,1147,31.56,1146,34.76,-2.84,42.18,1.21
456,1147,34.47,1146,29.33,0.0,58.07,1.98
477,1148,30.0,1147,31.56,3.03,94.28,2.99
456,1148,34.18,1147,29.14,-3.03,58.12,1.99
472,1148,31.78,1147,34.47,-3.7,41.67,1.21
456,1149,34.01,1148,28.65,-6.54,58.2,2.03
472,1149,31.88,1148,34.18,-2.47,41.16,1.2
477,1149,30.0,1148,31.78,1.49,94.52,2.97
477,1150,29.99,1149,31.88,0.2,94.71,2.97
472,1150,31.89,1149,34.01,-0.6,40.59,1.19
456,1150,33.98,1149,28.22,-4.35,58.37,2.07
456,1151,34.02,1150,28.13,1.96,58.61,2.08
472,1151,31.9,1150,33.98,0.21,39.96,1.18
477,1151,29.84,1150,31.89,-0.11,94.92,2.98
472,1152,31.89,1151,34.02,0.48,39.35,1.16
456,1152,34.04,1151,28.44,6.48,58.82,2.07
477,1152,29.56,1151,31.9,0.29,95.13,2.98
456,1153,33.89,1152,28.97,4.67,58.94,2.03
472,1153,31.42,1152,34.04,0.14,38.83,1.14
477,1153,29.52,1152,31.89,-0.18,95.34,2.99
477,1154,29.9,1153,31.42,-7.54,95.52,3.04
456,1154,33.41,1153,29.28,0.87,58.99,2.01
472,1154,30.28,1153,33.89,-2.43,38.36,1.13
472,1155,29.11,1154,33.41,-7.03,37.89,1.13
456,1155,32.54,1154,29.34,0.0,59.05,2.01
477,1155,30.68,1154,30.28,-11.2,95.83,3.16
477,1156,31.59,1155,29.11,-11.2,96.19,3.3
472,1156,28.41,1155,32.54,-10.92,37.49,1.15
456,1156,31.53,1155,29.34,0.0,59.11,2.01
477,1157,32.18,1156,28.41,-2.1,96.58,3.4
472,1157,28.5,1156,31.53,-10.33,37.23,1.18
456,1157,30.78,1156,29.34,0.0,59.18,2.02
456,1158,30.51,1157,29.34,0.0,59.24,2.02
472,1158,29.18,1157,30.78,-5.25,37.09,1.21
477,1158,32.45,1157,28.5,7.22,96.89,3.4
456,1159,30.65,1158,29.34,0.0,59.31,2.02
477,1159,32.54,1158,29.18,6.77,97.02,3.33
472,1159,29.68,1158,30.51,0.22,37.01,1.21
472,1160,29.88,1159,30.65,3.37,36.92,1.2
477,1160,32.56,1159,29.68,2.79,97.07,3.27
456,1160,30.87,1159,29.34,0.0,59.38,2.02
472,1161,29.96,1160,30.87,1.62,36.76,1.19
477,1161,32.56,1160,29.88,1.35,97.17,3.25
456,1161,30.77,1160,29.34,0.0,59.44,2.03
477,1162,32.39,1161,29.96,-0.09,97.29,3.25
456,1162,30.24,1161,29.34,0.0,59.5,2.03
472,1162,29.95,1161,30.77,-3.09,36.57,1.19
456,1163,29.18,1162,29.34,0.0,59.57,2.03
472,1163,29.94,1162,30.24,-7.94,36.41,1.2
477,1163,31.89,1162,29.95,-0.22,97.39,3.25
477,1164,31.08,1163,29.94,0.0,97.39,3.25
456,1164,27.6,1163,29.34,0.0,59.64,2.03
472,1164,29.94,1163,29.18,-11.2,36.34,1.25
456,1165,25.91,1164,29.34,0.0,59.7,2.03
472,1165,29.94,1164,27.6,-11.2,36.45,1.32
477,1165,30.09,1164,29.94,0.0,97.23,3.25
456,1166,24.76,1165,29.35,0.18,59.77,2.04
477,1166,29.27,1165,29.94,0.0,96.91,3.24
472,1166,29.94,1165,25.91,-11.2,36.71,1.42
472,1167,29.93,1166,24.76,-7.79,37.13,1.5
456,1167,24.75,1166,29.36,0.13,59.83,2.04
477,1167,28.95,1166,29.94,0.0,96.43,3.22
477,1168,29.25,1167,29.93,-0.05,95.77,3.2
472,1168,29.93,1167,24.75,7.76,37.74,1.52
456,1168,25.95,1167,29.29,-1.21,59.88,2.04
472,1169,29.94,1168,25.95,11.2,38.15,1.47
477,1169,30.12,1168,29.93,-0.08,95.3,3.18
456,1169,27.67,1168,29.06,-3.28,59.95,2.06
456,1170,29.06,1169,28.76,-3.47,60.06,2.09
472,1170,30.03,1169,27.67,11.2,38.37,1.39
477,1170,31.25,1169,29.94,0.28,94.99,3.17
456,1171,29.79,1170,28.64,0.28,60.22,2.1
472,1171,30.2,1170,29.06,10.48,38.38,1.32
477,1171,32.21,1170,30.03,1.4,94.82,3.16
472,1172,30.33,1171,29.79,3.47,38.2,1.28
456,1172,30.0,1171,28.95,5.91,60.4,2.09
477,1172,32.44,1171,30.2,2.17,94.82,3.14
477,1173,31.83,1172,30.33,0.91,94.81,3.13
456,1173,29.99,1172,29.66,9.17,60.54,2.04
472,1173,30.26,1172,30.0,-0.06,38.08,1.27
456,1174,30.0,1173,30.47,7.81,60.47,1.98
472,1174,29.99,1173,29.99,-0.3,38.09,1.27
477,1174,31.26,1173,30.26,-2.1,94.76,3.13
456,1175,29.99,1174,31.0,3.19,60.03,1.94
477,1175,31.25,1174,29.99,-3.94,94.72,3.16
472,1175,29.73,1174,30.0,0.43,38.22,1.27
472,1176,29.74,1175,29.99,-0.28,38.36,1.28
477,1176,31.61,1175,29.73,-1.99,94.76,3.19
456,1176,29.73,1175,31.09,-1.6,59.28,1.91
472,1177,30.06,1176,29.73,-4.01,38.46,1.29
456,1177,29.03,1176,30.83,-4.26,58.29,1.89
477,1177,31.77,1176,29.74,2.08,94.84,3.19
477,1178,30.97,1177,30.06,4.9,94.87,3.16
472,1178,30.6,1177,29.03,-9.89,38.52,1.33
456,1178,27.94,1177,30.44,-3.91,57.05,1.87
456,1179,26.94,1178,30.15,-2.05,55.8,1.85
477,1179,29.6,1178,30.6,6.18,94.71,3.09
472,1179,31.34,1178,27.94,-11.2,38.68,1.38
477,1180,28.63,1179,31.34,7.94,94.35,3.01
456,1180,26.64,1179,30.01,-0.46,54.89,1.83
472,1180,32.28,1179,26.94,-8.51,38.95,1.45
456,1181,27.2,1180,29.99,0.15,54.27,1.81
472,1181,33.43,1180,26.64,1.73,39.36,1.48
477,1181,28.43,1180,32.28,10.86,93.78,2.91
456,1182,28.28,1181,29.98,-0.21,53.95,1.8
472,1182,34.58,1181,27.2,10.64,39.75,1.46
477,1182,28.86,1181,33.43,11.2,93.11,2.79
472,1183,35.43,1182,28.28,11.2,39.98,1.41
477,1183,29.48,1182,34.58,10.98,92.48,2.67
456,1183,29.27,1182,29.96,-0.3,53.88,1.8
477,1184,29.87,1183,35.43,6.52,91.84,2.59
456,1184,29.84,1183,30.05,1.56,54.09,1.8
472,1184,35.89,1183,29.27,8.1,40.06,1.37
477,1185,29.91,1184,35.89,2.2,91.24,2.54
456,1185,30.03,1184,30.45,5.83,54.28,1.78
472,1185,36.03,1184,29.84,2.88,40.04,1.34
472,1186,36.04,1185,30.03,0.11,40.06,1.33
477,1186,29.73,1185,36.03,-0.04,90.64,2.52
456,1186,30.04,1185,31.24,10.48,54.46,1.74
472,1187,35.97,1186,30.04,0.0,40.24,1.34
456,1187,30.04,1186,32.37,11.2,54.61,1.69
477,1187,29.49,1186,36.04,0.16,90.04,2.5
477,1188,29.26,1187,35.97,-1.07,89.43,2.49
456,1188,29.93,1187,33.52,10.96,54.76,1.63
472,1188,35.5,1187,30.04,0.08,40.53,1.35
456,1189,29.64,1188,34.39,6.71,54.83,1.59
477,1189,29.12,1188,35.5,-7.12,88.82,2.5
472,1189,34.22,1188,29.93,-1.73,40.94,1.37
472,1190,31.69,1189,29.64,-4.07,41.44,1.4
456,1190,29.33,1189,34.86,2.51,54.84,1.57
477,1190,29.06,1189,34.22,-11.2,88.31,2.58
472,1191,27.75,1190,29.33,-3.27,42.02,1.43
456,1191,29.32,1190,35.02,0.14,54.83,1.57
477,1191,29.01,1190,31.69,-11.2,87.99,2.78
456,1192,29.85,1191,35.02,-0.23,54.82,1.57
472,1192,22.68,1191,29.32,2.13,42.64,1.45
477,1192,28.86,1191,27.75,-11.2,87.93,3.17
456,1193,30.88,1192,35.01,0.0,54.82,1.57
472,1193,17.66,1192,29.85,8.98,43.25,1.45
477,1193,28.63,1192,22.68,-11.2,88.33,3.89
456,1194,32.06,1193,35.01,0.0,54.81,1.57
472,1194,14.93,1193,30.88,11.2,43.73,1.42
477,1194,28.45,1193,17.66,-11.2,89.32,5.06
456,1195,33.11,1194,34.85,-2.56,54.79,1.57
472,1195,15.85,1194,32.06,11.2,44.1,1.38
477,1195,28.46,1194,14.93,-11.2,90.75,6.08
472,1196,20.29,1195,33.11,9.42,44.31,1.34
456,1196,33.95,1195,34.48,-4.8,54.79,1.59
477,1196,28.57,1195,15.85,11.2,92.63,5.84
472,1197,26.59,1196,33.95,7.24,44.35,1.31
456,1197,34.54,1196,34.22,-2.31,54.87,1.6
477,1197,28.46,1196,20.29,11.2,94.13,4.64
477,1198,27.93,1197,26.59,11.2,95.23,3.58
472,1198,32.17,1197,34.54,4.74,44.29,1.28
456,1198,34.88,1197,34.22,2.28,55.04,1.61
477,1199,27.02,1198,32.17,11.2,95.82,2.98
472,1199,35.8,1198,34.88,2.16,44.2,1.27
456,1199,35.02,1198,34.48,4.8,55.3,1.6
456,1200,35.03,1199,34.85,2.57,55.59,1.6
477,1200,26.16,1199,35.8,11.2,96.0,2.68
472,1200,37.53,1199,35.02,0.19,44.17,1.26
477,1201,25.77,1200,37.53,6.89,95.83,2.55
456,1201,35.03,1200,35.01,0.0,55.87,1.6
472,1201,37.99,1200,35.03,-0.24,44.18,1.26
477,1202,25.87,1201,37.99,0.76,95.49,2.51
456,1202,35.03,1201,35.03,0.36,56.13,1.6
472,1202,37.97,1201,35.03,0.26,44.18,1.26
456,1203,34.88,1202,35.02,-0.2,56.34,1.61
477,1203,26.24,1202,37.97,-0.85,95.18,2.51
472,1203,37.57,1202,35.03,-0.09,44.19,1.26
456,1204,34.47,1203,34.82,-3.25,56.55,1.62
472,1204,36.57,1203,34.88,-2.35,44.19,1.27
477,1204,26.67,1203,37.57,-6.18,94.88,2.53
477,1205,27.19,1204,36.57,-11.2,94.63,2.59
472,1205,34.93,1204,34.47,-5.72,44.18,1.28
456,1205,33.83,1204,34.28,-7.38,56.87,1.66
477,1206,27.91,1205,34.93,-11.2,94.5,2.71
456,1206,33.17,1205,33.56,-8.36,57.36,1.71
472,1206,32.63,1205,33.83,-7.87,44.15,1.3
477,1207,28.78,1206,32.63,-11.2,94.47,2.9
456,1207,32.68,1206,33.0,-3.75,58.02,1.76
472,1207,29.69,1206,33.17,-6.08,44.1,1.33
456,1208,32.41,1207,32.92,2.4,58.77,1.79
477,1208,29.49,1207,29.69,-11.2,94.64,3.19
472,1208,26.13,1207,32.68,-3.46,44.07,1.35
472,1209,22.13,1208,32.41,-1.41,44.14,1.36
477,1209,29.88,1208,26.13,-11.2,95.1,3.64
456,1209,32.45,1208,33.1,2.87,59.47,1.8
472,1210,18.49,1209,32.45,1.53,44.28,1.36
477,1210,30.09,1209,22.13,-11.2,95.9,4.33
456,1210,32.66,1209,33.05,-2.81,60.12,1.82
456,1211,32.8,1210,32.6,-7.42,60.8,1.87
472,1211,16.45,1210,32.66,2.96,44.36,1.36
477,1211,30.44,1210,18.49,-11.2,97.1,5.25
477,1212,30.9,1211,16.45,-10.61,98.59,5.99
472,1212,16.75,1211,32.8,1.39,44.28,1.35
456,1212,32.7,1211,32.08,-4.85,61.58,1.92
472,1213,19.29,1212,32.7,-3.54,44.09,1.35
456,1213,32.27,1212,32.06,4.09,62.44,1.95
477,1213,31.35,1212,16.75,11.2,100.44,6.0
456,1214,31.87,1213,32.87,11.2,63.26,1.92
472,1214,23.07,1213,32.27,-6.28,44.0,1.36
477,1214,31.99,1213,19.29,11.2,101.86,5.28
472,1215,26.51,1214,31.87,-2.55,44.19,1.39
456,1215,31.95,1214,34.22,11.2,63.93,1.87
477,1215,32.77,1214,23.07,11.2,102.91,4.46
472,1216,28.76,1215,31.95,3.83,44.53,1.39
456,1216,32.58,1215,35.46,10.79,64.59,1.82
477,1216,33.6,1215,26.51,11.2,103.59,3.91
456,1217,33.6,1216,36.14,2.84,65.14,1.8
472,1217,29.79,1216,32.58,9.45,45.01,1.38
477,1217,34.3,1216,28.76,11.2,104.04,3.62
472,1218,30.0,1217,33.6,11.2,45.38,1.35
456,1218,34.67,1217,36.23,-2.2,65.71,1.81
477,1218,34.54,1217,29.79,3.59,104.34,3.5
472,1219,29.99,1218,34.67,10.17,45.57,1.31
477,1219,34.52,1218,30.0,-0.16,104.74,3.49
456,1219,35.44,1218,36.07,-1.93,66.36,1.84
456,1220,35.71,1219,36.02,1.02,67.08,1.86
472,1220,29.99,1219,35.44,5.75,45.6,1.29
477,1220,34.49,1219,29.99,0.0,105.29,3.51
477,1221,34.48,1220,29.99,0.0,105.9,3.53
456,1221,35.47,1220,36.19,2.88,67.83,1.87
472,1221,29.99,1220,35.71,-0.28,45.58,1.28
472,1222,29.99,1221,35.47,-5.01,45.61,1.29
477,1222,34.62,1221,29.99,0.0,106.5,3.55
456,1222,35.02,1221,36.47,2.9,68.54,1.88
472,1223,29.99,1222,35.02,-5.13,45.75,1.31
477,1223,35.02,1222,29.99,0.0,107.03,3.57
456,1223,34.79,1222,36.75,2.67,69.15,1.88
477,1224,35.68,1223,29.99,0.0,107.48,3.58
456,1224,35.04,1223,37.01,2.42,69.63,1.88
472,1224,29.99,1223,34.79,-0.3,46.0,1.32
472,1225,29.99,1224,35.04,5.62,46.27,1.32
456,1225,35.71,1224,37.23,2.2,69.97,1.88
477,1225,36.01,1224,29.99,0.0,107.92,3.6
477,1226,34.98,1225,29.99,0.0,108.42,3.62
472,1226,29.99,1225,35.71,8.71,46.49,1.3
456,1226,36.53,1225,37.5,2.81,70.24,1.87
472,1227,29.99,1226,36.53,8.21,46.63,1.28
456,1227,37.25,1226,37.88,4.48,70.47,1.86
477,1227,32.06,1226,29.99,0.0,109.04,3.64
477,1228,27.7,1227,29.99,0.0,109.75,3.66
456,1228,37.73,1227,38.43,6.66,70.67,1.84
472,1228,29.99,1227,37.25,6.03,46.72,1.25
456,1229,37.96,1228,39.08,6.83,70.79,1.81
472,1229,29.99,1228,37.73,3.72,46.82,1.24
477,1229,23.28,1228,29.99,0.0,110.52,3.69
477,1230,20.62,1229,29.99,0.0,111.33,3.71
472,1230,29.99,1229,37.96,1.01,46.97,1.24
456,1230,37.98,1229,39.62,4.41,70.84,1.79
472,1231,29.98,1230,37.98,-0.97,47.16,1.24
456,1231,37.96,1230,39.92,1.6,70.84,1.77
477,1231,20.64,1230,29.99,0.0,112.15,3.74
472,1232,29.96,1231,37.96,-0.13,47.38,1.25
456,1232,38.11,1231,40.04,0.18,70.82,1.77
477,1232,22.9,1231,29.98,-0.26,112.93,3.77
472,1233,30.07,1232,38.11,2.85,47.61,1.25
456,1233,38.48,1232,40.04,-0.18,70.82,1.77
477,1233,25.87,1232,29.96,-0.08,113.72,3.8
456,1234,39.0,1233,39.8,-3.61,70.79,1.78
477,1234,28.13,1233,30.07,1.68,114.54,3.81
472,1234,30.37,1233,38.48,5.17,47.83,1.24
472,1235,30.8,1234,39.0,5.63,47.95,1.23
456,1235,39.48,1234,39.15,-9.02,70.8,1.81
477,1235,29.35,1234,30.37,4.24,115.41,3.8
477,1236,30.12,1235,30.8,5.23,116.3,3.78
472,1236,31.26,1235,39.48,4.02,47.9,1.21
456,1236,39.69,1235,38.26,-10.51,70.91,1.85
477,1237,31.22,1236,31.26,4.15,117.18,3.75
472,1237,31.69,1236,39.69,0.73,47.65,1.2
456,1237,39.53,1236,37.52,-5.62,71.17,1.9
477,1238,32.67,1237,31.69,3.86,118.03,3.72
456,1238,39.04,1237,37.36,2.89,71.5,1.91
472,1238,32.23,1237,39.53,-3.73,47.32,1.2
472,1239,32.99,1238,39.04,-6.92,47.07,1.21
477,1239,33.93,1238,32.23,6.38,118.81,3.69
456,1239,38.57,1238,37.9,8.56,71.79,1.89
472,1240,33.67,1239,38.57,-3.85,47.05,1.22
477,1240,34.7,1239,32.99,9.19,119.43,3.62
456,1240,38.68,1239,38.74,9.14,71.96,1.86
477,1241,35.0,1240,33.67,6.01,119.84,3.56
472,1241,33.97,1240,38.68,5.12,47.21,1.22
456,1241,39.63,1240,39.47,6.14,72.02,1.82
472,1242,34.07,1241,39.63,11.2,47.34,1.19
477,1242,35.04,1241,33.97,0.24,120.28,3.54
456,1242,41.28,1241,39.9,2.07,72.02,1.8
472,1243,34.18,1242,41.28,11.2,47.3,1.15
477,1243,35.04,1242,34.07,-0.64,120.93,3.55
456,1243,43.15,1242,40.03,-0.09,72.0,1.8
456,1244,44.55,1243,40.01,-0.27,72.0,1.8
472,1244,34.46,1243,43.15,11.2,47.09,1.09
477,1244,35.05,1243,34.18,2.49,121.76,3.56
472,1245,34.86,1244,44.55,10.78,46.71,1.05
456,1245,45.23,1244,40.0,0.0,72.0,1.8
477,1245,34.96,1244,34.46,4.99,122.72,3.56
472,1246,35.04,1245,45.23,2.6,46.15,1.02
477,1246,34.69,1245,34.86,2.95,123.8,3.55
456,1246,45.43,1245,40.0,0.0,72.0,1.8
472,1247,35.05,1246,45.43,-0.62,45.59,1.0
456,1247,45.47,1246,40.0,0.0,72.0,1.8
477,1247,34.19,1246,35.04,0.24,124.84,3.56
456,1248,45.63,1247,40.0,0.0,72.0,1.8
477,1248,33.48,1247,35.05,-0.11,125.87,3.59
472,1248,35.03,1247,45.47,1.03,45.05,0.99
472,1249,35.0,1248,45.63,3.24,44.52,0.98
477,1249,32.75,1248,35.03,-0.4,126.9,3.62
456,1249,45.83,1248,40.0,0.0,71.98,1.8
456,1250,45.62,1249,40.0,0.0,71.98,1.8
472,1250,34.99,1249,45.83,1.02,43.93,0.96
477,1250,32.15,1249,35.0,-0.23,127.99,3.66
472,1251,35.0,1250,45.62,-4.58,43.3,0.95
477,1251,31.77,1250,34.99,0.12,129.12,3.69
456,1251,44.87,1250,40.0,0.0,72.02,1.8
472,1252,35.0,1251,44.87,-10.41,42.73,0.95
